,Player,Twitter
797,Nikola Vucevic,NikolaVucevic
798,Sasha Vujacic,SashaVujacic
799,Dwyane Wade,DwyaneWade
800,Von Wafer,vonwafer13
801,Moritz Wagner,moritz_weasley
802,Dion Waiters,dionwaiters3
803,Antoine Walker,WalkerAntoine8
804,Kemba Walker,KembaWalker
805,Lonnie Walker,lonniewalker_4
806,Thomas Walkup,twalkup23
807,John Wall,JohnWall
808,Taurean Waller-Prince,taureanprince
809,Bill Walton,BillWalton
810,Derrick Walton,DerrickWalton10
811,Brad Wanamaker,phillybul_22
812,Jameel Warney,Fullcoursemeelz
813,T.J. Warren,tonywarrenjr
814,Hakim Warrick,hdubb21
815,C.J. Watson,quietstorm_32
816,Earl Watson,Earl_Watson
817,Maalik Wayns,MaalikWayns2
818,Travis Wear,traviswear
819,Kyle Weaver,kyleweaver5
820,Chris Webber,realchriswebber
821,Briante Weber,Sir_deuce2
822,Martell Webster,MartellWebster
823,Sonny Weems,Sonny13
824,Bonzi Wells,BonziWells
825,Thomas Welsh,tomwelsh40
826,Bill Wennington,34billy42
827,David West,D_West30
828,Delonte West,delontewest
829,Russell Westbrook,russwest44
830,Aaron White,Aaron_White30
831,Andrew White,AndrewWhite03
832,D.J. White,dj_white3
833,Derrick White,Dwhite921
834,Royce White,Highway_30
835,Hassan Whiteside,youngwhiteside
836,Andrew Wiggins,22wiggins
837,C.J. Wilcox,UCjwilcox23W
838,Jacob Wiley,Jwiley_24
839,Damien Wilkins,dwilkins3000
840,Dominique Wilkins,DWilkins21
841,Alan Williams,alantwilliams
842,Deron Williams,DeronWilliams
843,Elliot Williams,ewill901
844,JaCorey Williams,Bball_Fanatic_
845,Jay Williams,RealJayWilliams
846,Jerome Williams,JunkYardDogJW
847,Jordan Williams,Jwilliams20
848,Lou Williams,TeamLou23
849,Matt Williams,1mattwill2
850,Mo Williams,mowilliams
851,Reggie Williams,reggiew55
852,Shelden Williams,SheldenWilliams
853,T.J. Williams,gogettatjwill
854,Terrence Williams,TheRealTWill
855,Troy Williams,troywilliams_
856,Nigel Williams-Goss,NigelWG5
857,Derek Willis,derek_willis33
858,D.J. Wilson,Lanky_Smoove
859,Kyle Wiltjer,kwiltj
860,Justise Winslow,IAmJustise
861,Jeff Withey,JeffWithey
862,Nate Wolters,NateWolters
863,Metta World Peace,MettaWorldPeace
864,Brandan Wright,bwright34
865,Delon Wright,delonwright
866,Dorell Wright,DWRIGHTWAY1
867,Tony Wroten,TWroten_LOE
868,James Young,realjamesyoung
869,Nick Young,NickSwagyPYoung
870,Sam Young,SamYoung4
871,Thaddeus Young,yungsmoove21
872,Trae Young,TheTraeYoung
873,Cody Zeller,CodyZeller
874,Luke Zeller,LukeZeller40
875,Tyler Zeller,ZellerTyler
876,Ivica Zubac,ivicazubac
